participant_id,nickname,age_group,gender,english_proficiency,ai_experience,codenames_experience,session_id,condition,starting_role,start_time,end_time,completed,consent_given,total_rounds_planned,total_rounds_completed,total_turns_completed,final_total_score,user_agent,device_type,screen_size,browser_language,completion_code,post_game_i_understood_ai_clues,post_game_predict_ai_interpretation,post_game_adapted_to_ai_behavior,post_game_reflection_helped,post_game_shared_understanding,post_game_questionnaire_json,experiment_version,schema_version,code_commit,deployment_version,model_identifier,condition_assignment_version,last_activity_at,last_completed_stage,session_end_reason,withdrawal_requested,technical_termination
BHL,BHL,35-44,Female,Beginner,Never,Never,3460d2d5-c8f0-4f47-89bf-449fe81e1a5b,adaptive,human_clue,2026-07-24T11:47:15.359456,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},,,,,,,,,,,
nick,nick,25-34,Female,Beginner,Never,Never,e662ebf6-7152-420a-afdd-dc7ecc2af247,baseline,human_clue,2026-08-07T11:20:10.526513,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},,,,,,,,,,,
big nick,big nick,18-24,Self-describe: M,Advanced,A few times a week,Occasionally,12ee155e-f7be-4575-9401-5b566e8874d8,adaptive,human_clue,2026-08-07T11:33:04.607817,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},,,,,,,,,,,
big nick,big nick,18-24,Self-describe: M,Advanced,A few times a week,Occasionally,12ee155e-f7be-4575-9401-5b566e8874d8,adaptive,human_clue,2026-08-07T11:33:04.607817,2026-08-07T11:59:14.729516,true,true,4,4,14,14,unknown,unknown,unknown,unknown,6E8874D8,5,5,5,5,5,"{""i_understood_ai_clues"": 5, ""predict_ai_interpretation"": 5, ""adapted_to_ai_behavior"": 5, ""reflection_helped"": 5, ""shared_understanding"": 5}",,,,,,,,,,,
participant_ebaf4034,participant_ebaf4034,25-34,Male,Intermediate,Less than once a month,Once or twice,b5881f86-0719-46fd-bd51-d47cebaf4034,baseline,ai_clue,2026-08-07T12:02:59.150014,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},,,,,,,,,,,
participant_ebaf4034,participant_ebaf4034,25-34,Male,Intermediate,Less than once a month,Once or twice,b5881f86-0719-46fd-bd51-d47cebaf4034,baseline,ai_clue,2026-08-07T12:02:59.150014,2026-08-07T12:32:24.629020,true,true,4,4,14,6,unknown,unknown,unknown,unknown,EBAF4034,4,3,3,2,4,"{""i_understood_ai_clues"": 4, ""predict_ai_interpretation"": 3, ""adapted_to_ai_behavior"": 3, ""reflection_helped"": 2, ""shared_understanding"": 4}",,,,,,,,,,,
participant_4852d58d,participant_4852d58d,25-34,Non-binary,Intermediate,A few times a month,Occasionally,ecfa6308-233c-480e-8e0b-f6d54852d58d,adaptive,human_clue,2026-08-07T12:33:16.605259,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},,,,,,,,,,,
connect,connect,25-34,Male,Advanced,A few times a month,Once or twice,95a06bba-b176-4ad7-9851-629440e74603,baseline,human_clue,2026-08-17T20:11:35.956810,,false,true,4,2,6,4,unknown,unknown,unknown,unknown,,,,,,,{},,,,,,,,,,,
SAG,SAG,45-54,Non-binary,Intermediate,A few times a month,Occasionally,decee201-16e3-42e3-9826-e04a6aa7b6d6,adaptive,human_clue,2026-08-17T20:27:06.634158,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},,,,,,,,,,,
Test16,Test16,35-44,Non-binary,Advanced,Less than once a month,Occasionally,26407c49-8c21-435b-b0c0-54565ce236de,baseline,ai_clue,2026-08-17T21:13:05.175500,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},,,,,,,,,,,
participant_f2465b14,participant_f2465b14,35-44,Non-binary,Advanced,A few times a month,Occasionally,b1b57ce1-ae6f-4d7a-88b3-a264f2465b14,adaptive,ai_clue,2026-09-06T13:08:33.659654,,false,true,4,1,2,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-06T13:12:54.587433,gameplay,,false,false
War,War,25-34,Male,Intermediate,A few times a month,Occasionally,4a9816b7-6b59-4099-90c2-a06b8057847b,baseline,human_clue,2026-09-07T13:25:39.192705,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-07T13:26:01.480173,participant_profile,,false,false
participant_cbabb9bd,participant_cbabb9bd,25-34,Non-binary,Advanced,A few times a month,Occasionally,b966cbb2-4fe9-4d84-b1a9-3107cbabb9bd,adaptive,human_clue,2026-09-07T13:35:20.267407,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-07T13:35:43.475120,participant_profile,,false,false
participant_c884a385,participant_c884a385,45-54,Male,Advanced,Less than once a month,Occasionally,4ba1d4a0-b025-4481-a1b2-cdcac884a385,baseline,ai_clue,2026-09-08T08:25:12.231887,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-08T08:27:45.565723,tutorial,,false,false
SAG,SAG,25-34,Non-binary,Advanced,Less than once a month,Frequently,c2afa9c0-f335-48e0-9893-c138b38a1f2d,adaptive,ai_clue,2026-09-08T09:32:28.535497,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-08T09:34:09.069104,participant_profile,,false,false
participant_3357ad33,participant_3357ad33,25-34,Non-binary,Intermediate,A few times a month,Occasionally,4a2a8df2-533a-49a6-a8ab-cd403357ad33,baseline,human_clue,2026-09-08T10:14:53.475112,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-08T10:16:59.487339,participant_profile,,false,false
participant_045a1a3e,participant_045a1a3e,35-44,Non-binary,Native / Near-native,A few times a month,Occasionally,ef825603-80c0-4671-827e-3c9b045a1a3e,adaptive,human_clue,2026-09-08T10:33:48.979002,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-08T10:34:43.837161,participant_profile,,false,false
participant_1fc1d0d3,participant_1fc1d0d3,25-34,Non-binary,Intermediate,Less than once a month,Occasionally,0a4f35f7-40a8-4d38-8638-fbf91fc1d0d3,baseline,ai_clue,2026-09-08T10:42:41.795048,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-08T10:44:49.743308,participant_profile,,false,false
participant_c045700c,participant_c045700c,35-44,Female,Intermediate,Daily,Once or twice,598d6e21-b367-4488-ba19-e757c045700c,adaptive,human_clue,2026-09-08T12:03:29.367324,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-08T12:07:50.900031,participant_profile,,false,false
Test,Test,35-44,Male,Intermediate,Less than once a month,Once or twice,43a5bd4c-6422-4421-bab4-284eb3cb4d9d,baseline,human_clue,2026-09-08T14:45:41.281901,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-08T14:46:25.184391,participant_profile,,false,false
participant_394a1f7f,participant_394a1f7f,35-44,Non-binary,Intermediate,Daily,Occasionally,bfb3fde4-a79e-43b4-a855-d7f3394a1f7f,adaptive,ai_clue,2026-09-08T14:48:12.965867,,false,true,4,0,0,0,unknown,unknown,unknown,unknown,,,,,,,{},pilot-v1,2.0.0,,,"{""guess"": ""gpt-4o"", ""hint"": ""gpt-4o"", ""reflection"": ""gpt-4o""}",alternating-registered-sessions-v1,2026-09-08T14:49:10.237102,tutorial,,false,false
